drugbank_id	smpdb-id	name	drugs (placeholder)enzymes (placeholder to uniprot_id	
DB00001	SMP00278	Lepirudin Action Pathway	
DB03247	SMP00493	Carnosinuria, carnosinemia	
DB03247	SMP00351	GABA-Transaminase Deficiency	
DB03247	SMP00361	Hyperprolinemia Type I	
DB03247	SMP00172	Beta Ureidopropionase Deficiency	
DB03247	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB03247	SMP00360	Hyperprolinemia Type II	
DB03247	SMP00207	Prolidase Deficiency (PD)	
DB03247	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB03247	SMP00046	Pyrimidine Metabolism	
DB03247	SMP00178	Dihydropyrimidinase Deficiency	
DB03247	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB03247	SMP00208	Prolinemia Type II	
DB03247	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB03247	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB03247	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB03247	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB03247	SMP00020	Arginine and Proline Metabolism	
DB03247	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB03247	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB03255	SMP00532	Sulfite oxidase deficiency	
DB03255	SMP00041	Sulfate/Sulfite Metabolism	
DB03283	SMP00725	Fructose intolerance, hereditary	
DB03283	SMP00064	Fructose and Mannose Degradation	
DB03283	SMP00561	Fructosuria	
DB03323	SMP00556	Mucopolysaccharidosis VI. Sly syndrome	
DB03323	SMP00557	Sucrase-isomaltase deficiency	
DB03323	SMP00553	Glycogenosis, Type III. Cori disease, Debrancher glycogenosis	
DB03323	SMP00555	Glycogenosis, Type VI. Hers disease	
DB03323	SMP00552	Glycogen synthetase deficiency	
DB03323	SMP00554	Glycogenosis, Type IV. Amylopectinosis, Anderson disease	
DB03323	SMP00058	Starch and Sucrose Metabolism	
DB03374	SMP00716	Thyroid hormone synthesis	
DB03381	SMP00348	Globoid Cell Leukodystrophy	
DB03381	SMP00526	Krabbe disease	
DB03381	SMP00347	Metachromatic Leukodystrophy (MLD)	
DB03381	SMP00525	Fabry disease	
DB03381	SMP00034	Sphingolipid Metabolism	
DB03381	SMP00349	Gaucher Disease	
DB03408	SMP00013	Cysteine Metabolism	
DB03408	SMP00143	5-Oxoprolinuria	
DB03408	SMP00722	Cystinosis, ocular nonnephropathic	
DB03408	SMP00183	Gamma-Glutamyltransferase Deficiency	
DB03408	SMP00499	Beta-mercaptolactate-cysteine disulfiduria	
DB03408	SMP00500	5-oxoprolinase deficiency	
DB03408	SMP00501	Gamma-glutamyl-transpeptidase deficiency	
DB03408	SMP00015	Glutathione Metabolism	
DB03408	SMP00337	Glutathione Synthetase Deficiency	
DB03408	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB03408	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB03408	SMP00385	Homocarnosinosis	
DB03408	SMP00072	Glutamate Metabolism	
DB03408	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB03408	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB03416	SMP00076	Thiamine Metabolism	
DB03419	SMP00007	Beta-Alanine Metabolism	
DB03419	SMP00493	Carnosinuria, carnosinemia	
DB03419	SMP00351	GABA-Transaminase Deficiency	
DB03419	SMP00492	Ureidopropionase deficiency	
DB03419	SMP00172	Beta Ureidopropionase Deficiency	
DB03419	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB03419	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB03419	SMP00046	Pyrimidine Metabolism	
DB03419	SMP00178	Dihydropyrimidinase Deficiency	
DB03435	SMP00622	Morphine Metabolism Pathway	
DB03435	SMP00590	Ibuprofen Metabolism Pathway	
DB03435	SMP00648	Sorafenib Metabolism Pathway	
DB03435	SMP00642	Nevirapine Metabolism Pathway	
DB03435	SMP00644	Celecoxib Metabolism Pathway	
DB03435	SMP00600	Irinotecan Metabolism Pathway	
DB03435	SMP00651	Artemether Metabolism Pathway	
DB03435	SMP00471	Tamoxifen Action Pathway	
DB03435	SMP00433	Irinotecan Action Pathway	
DB03435	SMP00606	Tamoxifen Metabolism Pathway	
DB03435	SMP00628	Nicotine Metabolism Pathway	
DB03435	SMP00640	Acetaminophen Metabolism Pathway	
DB03435	SMP00621	Codeine Metabolism Pathway	
DB03435	SMP00637	Tramadol Metabolism Pathway	
DB03435	SMP00649	Lamivudine Metabolism Pathway	
DB03435	SMP00406	Morphine Action Pathway	
DB03435	SMP00526	Krabbe disease	
DB03435	SMP00557	Sucrase-isomaltase deficiency	
DB03435	SMP00601	Etoposide Metabolism Pathway	
DB03435	SMP00635	Valproic Acid Metabolism Pathway	
DB03435	SMP00652	Mycophenolic Acid Metabolism Pathway	
DB03435	SMP00552	Glycogen synthetase deficiency	
DB03435	SMP00554	Glycogenosis, Type IV. Amylopectinosis, Anderson disease	
DB03435	SMP00034	Sphingolipid Metabolism	
DB03435	SMP00058	Starch and Sucrose Metabolism	
DB03435	SMP00349	Gaucher Disease	
DB03435	SMP00348	Globoid Cell Leukodystrophy	
DB03435	SMP00442	Etoposide Action Pathway	
DB03435	SMP00553	Glycogenosis, Type III. Cori disease, Debrancher glycogenosis	
DB03435	SMP00555	Glycogenosis, Type VI. Hers disease	
DB03435	SMP00347	Metachromatic Leukodystrophy (MLD)	
DB03435	SMP00327	Phenytoin (Antiarrhythmic) Action Pathway	
DB03435	SMP00525	Fabry disease	
DB03435	SMP00556	Mucopolysaccharidosis VI. Sly syndrome	
DB03435	SMP00068	Androgen and Estrogen Metabolism	
DB03435	SMP00024	Porphyrin Metabolism	
DB03435	SMP00342	Hereditary Coproporphyria (HCP)	
DB03435	SMP00182	Galactosemia	
DB03435	SMP00534	G(M2)-Gangliosidosis: Variant B, Tay-sachs disease	
DB03435	SMP00565	Aromatase deficiency	
DB03435	SMP00045	Amino Sugar Metabolism	
DB03435	SMP00216	Sialuria or French Type Sialuria	
DB03435	SMP00043	Galactose Metabolism	
DB03435	SMP00356	17-Beta Hydroxysteroid Dehydrogenase III Deficiency	
DB03435	SMP00240	Salla Disease/Infantile Sialic Acid Storage Disease	
DB03435	SMP00086	Ibuprofen Action Pathway	
DB03435	SMP00344	Acute Intermittent Porphyria	
DB03435	SMP00346	Porphyria Variegata (PV)	
DB03435	SMP00405	Codeine Action Pathway	
DB03435	SMP00431	Nicotine Action Pathway	
DB03435	SMP00579	Congenital disorder of glycosylation CDG-IId	
DB03435	SMP00444	Lactose Synthesis	
DB03435	SMP00096	Celecoxib Action Pathway	
DB03435	SMP00345	Congenital Erythropoietic Porphyria (CEP) or Gunther Disease	
DB03435	SMP00390	Tay-Sachs Disease	
DB03435	SMP00217	Sialuria or French Type Sialuria	
DB03435	SMP00580	GLUT-1 deficiency syndrome	
DB03435	SMP00046	Pyrimidine Metabolism	
DB03435	SMP00178	Dihydropyrimidinase Deficiency	
DB03435	SMP00172	Beta Ureidopropionase Deficiency	
DB03435	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB03435	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB03462	SMP00172	Beta Ureidopropionase Deficiency	
DB03462	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB03462	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB03462	SMP00046	Pyrimidine Metabolism	
DB03462	SMP00178	Dihydropyrimidinase Deficiency	
DB03566	SMP00445	Spermidine and Spermine Biosynthesis	
DB03566	SMP00341	Hypermethioninemia	
DB03566	SMP00222	Glycine N-methyltransferase Deficiency	
DB03566	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB03566	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB03566	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB03566	SMP00221	Methionine Adenosyltransferase Deficiency	
DB03566	SMP00033	Methionine Metabolism	
DB03566	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB03568	SMP00073	Butyrate Metabolism	
DB03568	SMP00456	Fatty Acid Biosynthesis	
DB03587	SMP00459	Pyruvaldehyde Degradation	
DB03587	SMP00445	Spermidine and Spermine Biosynthesis	
DB03587	SMP00196	Leigh Syndrome	
DB03587	SMP00558	Primary hyperoxaluria II, PH2	
DB03587	SMP00334	Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)	
DB03587	SMP00559	Pyruvate kinase deficiency	
DB03587	SMP00060	Pyruvate Metabolism	
DB03587	SMP00212	Pyruvate Dehydrogenase Complex Deficiency	
DB03587	SMP00244	Sarcosinemia	
DB03587	SMP00485	Hyperglycinemia, non-ketotic	
DB03587	SMP00004	Glycine and Serine Metabolism	
DB03587	SMP00223	Non Ketotic Hyperglycinemia	
DB03587	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB03587	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB03587	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB03587	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB03600	SMP00456	Fatty Acid Biosynthesis	
DB03644	SMP00063	Tryptophan Metabolism	
DB03685	SMP00579	Congenital disorder of glycosylation CDG-IId	
DB03685	SMP00444	Lactose Synthesis	
DB03685	SMP00580	GLUT-1 deficiency syndrome	
DB03685	SMP00247	Azithromycin Action Pathway	
DB03685	SMP00254	Gentamicin Action Pathway	
DB03685	SMP00259	Streptomycin Action Pathway	
DB03685	SMP00729	Chloramphenicol Action Pathway	
DB03685	SMP00251	Roxithromycin Action Pathway	
DB03685	SMP00253	Amikacin Action Pathway	
DB03685	SMP00258	Spectinomycin Action Pathway	
DB03685	SMP00295	Lymecycline Action Pathway	
DB03685	SMP00728	Lincomycin Action Pathway	
DB03685	SMP00262	Clomocycline Action Pathway	
DB03685	SMP00248	Clarithromycin Action Pathway	
DB03685	SMP00255	Kanamycin Action Pathway	
DB03685	SMP00290	Demeclocycline Action Pathway	
DB03685	SMP00292	Minocycline Action Pathway	
DB03685	SMP00730	Troleandomycin Action Pathway	
DB03685	SMP00250	Erythromycin Action Pathway	
DB03685	SMP00252	Telithromycin Action Pathway	
DB03685	SMP00257	Netilmicin Action Pathway	
DB03685	SMP00294	Tetracycline Action Pathway	
DB03685	SMP00712	Tigecycline Action Pathway	
DB03685	SMP00714	Paromomycin Action Pathway	
DB03685	SMP00727	Methacycline Action Pathway	
DB03685	SMP00249	Clindamycin Action Pathway	
DB03685	SMP00256	Neomycin Action Pathway	
DB03685	SMP00291	Doxycycline Action Pathway	
DB03685	SMP00293	Oxytetracycline Action Pathway	
DB03685	SMP00711	Tobramycin Action Pathway	
DB03685	SMP00713	Arbekacin Action Pathway	
DB03685	SMP00726	Rolitetracycline Action Pathway	
DB03685	SMP00731	Josamycin Action Pathway	
DB03685	SMP00172	Beta Ureidopropionase Deficiency	
DB03685	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB03685	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB03685	SMP00046	Pyrimidine Metabolism	
DB03685	SMP00178	Dihydropyrimidinase Deficiency	
DB03688	SMP00201	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	
DB03688	SMP00016	Propanoate Metabolism	
DB03688	SMP00198	Malonic Aciduria	
DB03688	SMP00502	Malonyl-coa decarboxylase deficiency	
DB03766	SMP00464	Vitamin K Metabolism	
DB03766	SMP00201	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	
DB03766	SMP00016	Propanoate Metabolism	
DB03766	SMP00198	Malonic Aciduria	
DB03766	SMP00502	Malonyl-coa decarboxylase deficiency	
DB03776	SMP00196	Leigh Syndrome	
DB03776	SMP00558	Primary hyperoxaluria II, PH2	
DB03776	SMP00334	Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)	
DB03776	SMP00559	Pyruvate kinase deficiency	
DB03776	SMP00060	Pyruvate Metabolism	
DB03776	SMP00212	Pyruvate Dehydrogenase Complex Deficiency	
DB03796	SMP00054	Fatty Acid Elongation In Mitochondria	
DB03796	SMP00544	Long-chain-3-hydroxyacyl-coa dehydrogenase deficiency (LCHAD)	
DB03796	SMP00530	Familial lipoprotein lipase deficiency	
DB03796	SMP00039	Glycerolipid Metabolism	
DB03796	SMP00529	D-glyceric acidura	
DB03796	SMP00187	Glycerol Kinase Deficiency	
DB03796	SMP00539	Long chain acyl-CoA dehydrogenase deficiency (LCAD)	
DB03796	SMP00540	Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)	
DB03796	SMP00051	Fatty acid Metabolism	
DB03796	SMP00185	Glutaric Aciduria Type I	
DB03796	SMP00542	Medium chain acyl-coa dehydrogenase deficiency (MCAD)	
DB03796	SMP00181	Ethylmalonic Encephalopathy	
DB03796	SMP00541	Carnitine palmitoyl transferase deficiency (II)	
DB03796	SMP00235	Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency)	
DB03796	SMP00538	Carnitine palmitoyl transferase deficiency (I)	
DB03796	SMP00545	Trifunctional protein deficiency	
DB03796	SMP00314	Congenital Bile Acid Synthesis Defect Type II	
DB03796	SMP00119	Fluvastatin Action Pathway	
DB03796	SMP00720	27-Hydroxylase Deficiency	
DB03796	SMP00387	CHILD Syndrome	
DB03796	SMP00508	Cholesteryl ester storage disease	
DB03796	SMP00386	Desmosterolosis	
DB03796	SMP00456	Fatty Acid Biosynthesis	
DB03796	SMP00318	Congenital Bile Acid Synthesis Defect Type III	
DB03796	SMP00107	Zoledronate Action Pathway	
DB03796	SMP00131	Atorvastatin Action Pathway	
DB03796	SMP00023	Steroid Biosynthesis	
DB03796	SMP00388	Chondrodysplasia Punctata II, X Linked Dominant (CDPX2)	
DB03796	SMP00095	Alendronate Action Pathway	
DB03796	SMP00317	Familial Hypercholanemia (FHCA)	
DB03796	SMP00209	Hypercholesterolemia	
DB03796	SMP00099	Lovastatin Action Pathway	
DB03796	SMP00111	Cerivastatin Action Pathway	
DB03796	SMP00509	Hyper-IgD syndrome	
DB03796	SMP00319	Lysosomal Acid Lipase Deficiency (Wolman Disease)	
DB03796	SMP00079	Ibandronate Action Pathway	
DB03796	SMP00089	Pravastatin Action Pathway	
DB03796	SMP00035	Bile Acid Biosynthesis	
DB03796	SMP00316	Zellweger Syndrome	
DB03796	SMP00112	Risedronate Action Pathway	
DB03796	SMP00510	Mevalonic aciduria	
DB03796	SMP00389	Smith-Lemli-Opitz Syndrome (SLOS)	
DB03796	SMP00082	Simvastatin Action Pathway	
DB03796	SMP00092	Rosuvastatin Action Pathway	
DB03796	SMP00315	Cerebrotendinous Xanthomatosis (CTX)	
DB03796	SMP00117	Pamidronate Action Pathway	
DB03796	SMP00511	Wolman disease	
DB03800	SMP00172	Beta Ureidopropionase Deficiency	
DB03800	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB03800	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB03800	SMP00046	Pyrimidine Metabolism	
DB03800	SMP00178	Dihydropyrimidinase Deficiency	
DB03843	SMP00638	Levomethadyl Acetate Metabolism Pathway	
DB03843	SMP00639	Clomipramine Metabolism Pathway	
DB03843	SMP00606	Tamoxifen Metabolism Pathway	
DB03843	SMP00620	Lidocaine (Local Anaesthetic) Metabolism Pathway	
DB03843	SMP00624	Methadone Metabolism Pathway	
DB03843	SMP00641	Doxepin Metabolism Pathway	
DB03843	SMP00653	Rosiglitazone Metabolism Pathway	
DB03843	SMP00646	Fluoxetine Metabolism Pathway	
DB03843	SMP00651	Artemether Metabolism Pathway	
DB03843	SMP00625	Imipramine Metabolism Pathway	
DB03843	SMP00471	Tamoxifen Action Pathway	
DB03843	SMP00636	Venlafaxine Metabolism Pathway	
DB03843	SMP00443	Teniposide Action Pathway	
DB03843	SMP00627	Citalopram Metabolism Pathway	
DB03843	SMP00637	Tramadol Metabolism Pathway	
DB03843	SMP00628	Nicotine Metabolism Pathway	
DB03843	SMP00028	Caffeine Metabolism	
DB03843	SMP00602	Teniposide Metabolism Pathway	
DB03843	SMP00621	Codeine Metabolism Pathway	
DB03843	SMP00422	Imipramine Action Pathway	
DB03843	SMP00328	Lidocaine (Antiarrhythmic) Action Pathway	
DB03843	SMP00442	Etoposide Action Pathway	
DB03843	SMP00398	Lidocaine (Local Anaesthetic) Action Pathway	
DB03843	SMP00426	Fluoxetine Action Pathway	
DB03843	SMP00408	Methadone Action Pathway	
DB03843	SMP00601	Etoposide Metabolism Pathway	
DB03843	SMP00652	Mycophenolic Acid Metabolism Pathway	
DB03843	SMP00405	Codeine Action Pathway	
DB03843	SMP00431	Nicotine Action Pathway	
DB03843	SMP00424	Citalopram Action Pathway	
DB03843	SMP00004	Glycine and Serine Metabolism	
DB03843	SMP00244	Sarcosinemia	
DB03843	SMP00485	Hyperglycinemia, non-ketotic	
DB03843	SMP00223	Non Ketotic Hyperglycinemia	
DB03843	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB03843	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB03843	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB03843	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB03866	SMP00353	Leukotriene C4 Synthesis Deficiency	
DB03866	SMP00075	Arachidonic Acid Metabolism	
DB03866	SMP00098	Ketorolac Action Pathway	
DB03866	SMP00102	Bromfenac Action Pathway	
DB03866	SMP00109	Mefenamic Acid Action Pathway	
DB03866	SMP00695	Etoricoxib Action Pathway	
DB03866	SMP00700	Lornoxicam Action Pathway	
DB03866	SMP00707	Salsalate Action Pathway	
DB03866	SMP00077	Piroxicam Action Pathway	
DB03866	SMP00087	Rofecoxib Action Pathway	
DB03866	SMP00120	Naproxen Action Pathway	
DB03866	SMP00106	Meloxicam Action Pathway	
DB03866	SMP00693	Antrafenine Action Pathway	
DB03866	SMP00698	Magnesium salicylate Action Pathway	
DB03866	SMP00705	Tiaprofenic Acid Action Pathway	
DB03866	SMP00710	Acetaminophen  Action Pathway	
DB03866	SMP00113	Oxaprozin Action Pathway	
DB03866	SMP00696	Fenoprofen Action Pathway	
DB03866	SMP00701	Phenylbutazone Action Pathway	
DB03866	SMP00703	Trisalicylate-choline Action Pathway	
DB03866	SMP00708	Salicylate-sodium Action Pathway	
DB03866	SMP00083	Acetylsalicylic Acid Action Pathway	
DB03866	SMP00085	Ketoprofen Action Pathway	
DB03866	SMP00093	Diclofenac Action Pathway	
DB03866	SMP00697	Flurbiprofen Action Pathway	
DB03866	SMP00702	Nepafenac Action Pathway	
DB03866	SMP00704	Tolmetin Action Pathway	
DB03866	SMP00709	Salicylic Acid Action Pathway	
DB03866	SMP00084	Etodolac Action Pathway	
DB03866	SMP00086	Ibuprofen Action Pathway	
DB03866	SMP00094	Sulindac Action Pathway	
DB03866	SMP00114	Nabumetone Action Pathway	
DB03866	SMP00096	Celecoxib Action Pathway	
DB03866	SMP00101	Suprofen Action Pathway	
DB03866	SMP00104	Indomethacin Action Pathway	
DB03866	SMP00289	Diflunisal Action Pathway	
DB03866	SMP00116	Valdecoxib Action Pathway	
DB03866	SMP00692	Antipyrine Action Pathway	
DB03866	SMP00694	Carprofen Action Pathway	
DB03866	SMP00699	Lumiracoxib Action Pathway	
DB03866	SMP00706	Tenoxicam Action Pathway	
DB03884	SMP00369	Tyrosinemia Type 2 (or Richner-Hanhart syndrome)	
DB03884	SMP00206	Phenylketonuria	
DB03884	SMP00370	Tyrosinemia Type 3 (TYRO3)	
DB03884	SMP00008	Phenylalanine and Tyrosine Metabolism	
DB03896	SMP00490	Segawa syndrome	
DB03896	SMP00488	Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps)	
DB03896	SMP00487	Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency	
DB03896	SMP00489	Hyperphenylalaninemia due to dhpr-deficiency	
DB03896	SMP00005	Pterine Biosynthesis	
DB03896	SMP00486	Dopa-responsive dystonia	
DB03896	SMP00491	Sepiapterin reductase deficiency	
DB03904	SMP00088	Bumetanide Action Pathway	
DB03904	SMP00091	Quinethazone Action Pathway	
DB03904	SMP00108	Hydroflumethiazide Action Pathway	
DB03904	SMP00133	Amiloride Action Pathway	
DB03904	SMP00193	Iminoglycinuria	
DB03904	SMP00081	Methyclothiazide Action Pathway	
DB03904	SMP00105	Metolazone Action Pathway	
DB03904	SMP00121	Trichlormethiazide Action Pathway	
DB03904	SMP00132	Triamterene Action Pathway	
DB03904	SMP00080	Polythiazide Action Pathway	
DB03904	SMP00103	Cyclothiazide Action Pathway	
DB03904	SMP00118	Torsemide Action Pathway	
DB03904	SMP00122	Chlorthalidone Action Pathway	
DB03904	SMP00583	Blue diaper syndrome	
DB03904	SMP00585	Lysinuric protein intolerance (LPI)	
DB03904	SMP00189	Hartnup Disorder	
DB03904	SMP00197	Lysinuric Protein Intolerance	
DB03904	SMP00036	D-Arginine and D-Ornithine Metabolism	
DB03904	SMP00184	Glucose Transporter Defect (SGLT2)	
DB03904	SMP00090	Bendroflumethiazide Action Pathway	
DB03904	SMP00097	Ethacrynic Acid Action Pathway	
DB03904	SMP00110	Indapamide Action Pathway	
DB03904	SMP00134	Spironolactone Action Pathway	
DB03904	SMP00245	Glucose Transporter Defect (SGLT2)	
DB03904	SMP00078	Chlorothiazide Action Pathway	
DB03904	SMP00100	Hydrochlorothiazide Action Pathway	
DB03904	SMP00115	Furosemide Action Pathway	
DB03904	SMP00135	Eplerenone Action Pathway	
DB03904	SMP00723	Cystinuria	
DB03904	SMP00483	Kidney Function	
DB03904	SMP00357	Argininemia	
DB03904	SMP00003	Argininosuccinic Aciduria	
DB03904	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB03904	SMP00059	Urea Cycle	
DB03904	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB03904	SMP00001	Citrullinemia Type I	
DB03904	SMP00208	Prolinemia Type II	
DB03904	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB03904	SMP00361	Hyperprolinemia Type I	
DB03904	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB03904	SMP00207	Prolidase Deficiency (PD)	
DB03904	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB03904	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB03904	SMP00360	Hyperprolinemia Type II	
DB03904	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB03904	SMP00020	Arginine and Proline Metabolism	
DB03904	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB03904	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB03915	SMP00004	Glycine and Serine Metabolism	
DB03915	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB03915	SMP00223	Non Ketotic Hyperglycinemia	
DB03915	SMP00244	Sarcosinemia	
DB03915	SMP00485	Hyperglycinemia, non-ketotic	
DB03915	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB03915	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB03915	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB03929	SMP00262	Clomocycline Action Pathway	
DB03929	SMP00248	Clarithromycin Action Pathway	
DB03929	SMP00255	Kanamycin Action Pathway	
DB03929	SMP00290	Demeclocycline Action Pathway	
DB03929	SMP00292	Minocycline Action Pathway	
DB03929	SMP00730	Troleandomycin Action Pathway	
DB03929	SMP00251	Roxithromycin Action Pathway	
DB03929	SMP00253	Amikacin Action Pathway	
DB03929	SMP00258	Spectinomycin Action Pathway	
DB03929	SMP00295	Lymecycline Action Pathway	
DB03929	SMP00728	Lincomycin Action Pathway	
DB03929	SMP00247	Azithromycin Action Pathway	
DB03929	SMP00254	Gentamicin Action Pathway	
DB03929	SMP00259	Streptomycin Action Pathway	
DB03929	SMP00729	Chloramphenicol Action Pathway	
DB03929	SMP00249	Clindamycin Action Pathway	
DB03929	SMP00256	Neomycin Action Pathway	
DB03929	SMP00291	Doxycycline Action Pathway	
DB03929	SMP00293	Oxytetracycline Action Pathway	
DB03929	SMP00711	Tobramycin Action Pathway	
DB03929	SMP00713	Arbekacin Action Pathway	
DB03929	SMP00726	Rolitetracycline Action Pathway	
DB03929	SMP00731	Josamycin Action Pathway	
DB03929	SMP00250	Erythromycin Action Pathway	
DB03929	SMP00252	Telithromycin Action Pathway	
DB03929	SMP00257	Netilmicin Action Pathway	
DB03929	SMP00294	Tetracycline Action Pathway	
DB03929	SMP00712	Tigecycline Action Pathway	
DB03929	SMP00714	Paromomycin Action Pathway	
DB03929	SMP00727	Methacycline Action Pathway	
DB03929	SMP00244	Sarcosinemia	
DB03929	SMP00485	Hyperglycinemia, non-ketotic	
DB03929	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB03929	SMP00004	Glycine and Serine Metabolism	
DB03929	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB03929	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB03929	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB03929	SMP00223	Non Ketotic Hyperglycinemia	
DB03945	SMP00649	Lamivudine Metabolism Pathway	
DB03945	SMP00526	Krabbe disease	
DB03945	SMP00347	Metachromatic Leukodystrophy (MLD)	
DB03945	SMP00525	Fabry disease	
DB03945	SMP00034	Sphingolipid Metabolism	
DB03945	SMP00349	Gaucher Disease	
DB03945	SMP00025	Phospholipid Biosynthesis	
DB03945	SMP00348	Globoid Cell Leukodystrophy	
DB03994	SMP00025	Phospholipid Biosynthesis	
DB04034	SMP00031	Pentose Phosphate Pathway	
DB04034	SMP00518	Glucose-6-phosphate dehydrogenase deficiency	
DB04034	SMP00520	Transaldolase deficiency	
DB04034	SMP00519	Ribose-5-phosphate isomerase deficiency	
DB04034	SMP00654	Warburg Effect	
DB04056	SMP00063	Tryptophan Metabolism	
DB04074	SMP00137	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	
DB04074	SMP00139	3-Methylglutaconic Aciduria Type I	
DB04074	SMP00173	Beta-Ketothiolase Deficiency	
DB04074	SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	
DB04074	SMP00238	Isovaleric Aciduria	
DB04074	SMP00199	Maple Syrup Urine Disease	
DB04074	SMP00200	Methylmalonic Aciduria	
DB04074	SMP00523	Isobutyryl-coa dehydrogenase deficiency	
DB04074	SMP00032	Valine, Leucine and Isoleucine Degradation	
DB04074	SMP00138	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	
DB04074	SMP00384	Methylmalonate Semialdehyde Dehydrogenase Deficiency	
DB04074	SMP00522	3-hydroxyisobutyric aciduria	
DB04074	SMP00236	Propionic Acidemia	
DB04074	SMP00140	3-Methylglutaconic Aciduria Type III	
DB04074	SMP00141	3-Methylglutaconic Aciduria Type IV	
DB04074	SMP00521	3-hydroxyisobutyric acid dehydrogenase deficiency	
DB04074	SMP00524	Isovaleric acidemia	
DB04076	SMP00203	Molybdenum Cofactor Deficiency	
DB04076	SMP00210	Purine Nucleoside Phosphorylase Deficiency	
DB04076	SMP00536	Mitochondrial DNA depletion syndrome	
DB04076	SMP00428	Mercaptopurine Action Pathway	
DB04076	SMP00512	Xanthinuria type I	
